ID,Smiles,MW,LogP,donor,acceptor,drug_likeness
2259669,COc1ccc(cc1)NCCC(=O)OC,209.2417,1.37,1,4,1
21436624,CCN(CCC(=O)O)c1ccc(cc1)OC,223.2683,1.45,1,4,1
24797463,COc1cccc(c1)NCCC(=O)OC,209.2417,1.27,1,4,1
2256773,CCOc1ccc(cc1)NCCC(=O)OC,223.26828,1.9,1,4,1
2073753,COc1cc(cc(c1)OC)N(CCC(=O)OC)CCC(=O)OC,325.35692,1.93,0,7,0
1865758,COc1ccc(cc1)N2CCN(CC2)CCC(=O)OC,278.3468,1.88,0,5,1
24285643,COc1cccc(c1)N2CCN(CC2)CCC(=O)OC,278.3468,1.97,0,5,1
39685869,CN(CCC(=O)OC)c1ccc(cc1)OC,223.2683,1.38,0,4,1
24034328,CCN(CCC(=O)O)c1ccc(cc1)OCC,237.2949,1.98,1,4,1
9967182,O=C(OC)CCN(c1cc(OC)c(OC)c(OC)c1)CCC(=O)OC,355.3829,0.83,0,8,0
39685873,CCOC(=O)CCN(C)c1ccc(cc1)OC,237.2949,1.91,0,4,1
39813006,CCCOc1ccc(cc1)NCCC(=O)OC,237.2949,2.43,1,4,1
44782577,CCCOc1ccc(cc1)N(C)CCC(=O)O,237.2949,1.98,1,4,1
39685849,CN(CCC(=O)OC)c1cccc(c1)OC,223.2683,2.19,0,4,1
39685853,CCOC(=O)CCN(C)c1cccc(c1)OC,237.2949,2.72,0,4,1
73571173,CN(CCC(=O)OC)C1=CC(OC)=C(C=C1)OC,253.2943,1.19,0,5,1
73571197,COC(=O)CCN(C)C1C=CC(=CC=1)OCC,237.2949,1.91,0,4,1
73571211,COC(=O)CCN(C)C1C=CC(=CC=1)OC(C)C,251.3214,2.26,0,4,1
13656218,Oc1cccc(c1)N(CCC(=O)OC)CC,223.2683,1.94,1,4,1
1865757,COc1ccc(cc1)N2CC[NH+](CC2)CCC(=O)OC,279.3542,1.88,0,5,1
8395625,CCN(CCC(=O)O)C1=CC(=CC=C1)OC,223.2683,2.26,1,4,1
2059272,CCOC(=O)CCNc1ccc(cc1)OC,223.26828,1.9,1,4,1
24034348,CCOc1ccc(cc1)N(C)CCC(=O)O,223.2683,1.45,1,4,1
39685874,CN(CCCC(=O)OC)c1ccc(cc1)OC,237.2949,1.71,0,4,1
 39906669,CN(CCC(=O)OC)c1ccc(cc1)O,209.2417,1.46,1,4,1
44782580,CCCOc1cccc(c1)N(C)CCC(=O)O,237.2949,2.79,1,4,1
44914692,CCCN(CCC(=O)O)c1cccc(c1)OCC,251.3214,3.32,1,4,1
47360710,CC(C)(CN(C)c1ccc(cc1)OC)C(=O)OC,251.3214,2.08,0,4,1
36356444,COc1cc(cc(c1)NCCC(=O)OC)N,224.2563,-1.13,3,5,1
38506956,COC(=O)CCNc1cccc(c1)Oc2ccccc2,271.3111,3.89,1,4,1
38640016,CCOc1cccc(c1)NCCC(=O)OC,223.2683,1.8,1,4,1
38693795,CN(CCC(=O)OC)c1ccccc1OC,223.2683,2.1,0,4,1
49780856,COC(=O)CCN1CCCOc2c1cccc2,235.279,2.17,0,4,1
73571159,COC(=O)CCNC1C=C2C=CC(=CC2=CC=1)OC,259.3004,2.7,1,4,1
15576425,CN(CCC(=O)O)c1ccc(cc1)OC,209.2417,0.92,1,4,1
24295351,CCOc1ccc(cc1)NCCC(=O)O,209.2417,1.44,2,4,1
29365242,CCOc1cccc(c1)NCCC(=O)O,209.2417,1.34,2,4,1
39813007,CCCOc1ccc(cc1)NCCC(=O)O,223.2683,1.97,2,4,1
44782579,CCOc1cccc(c1)N(C)CCC(=O)O,223.2683,2.26,1,4,1
44782581,CC(C)Oc1cccc(c1)N(C)CCC(=O)O,237.2949,2.6,1,4,1
44914693,CCCN(CCC(=O)O)c1cccc(c1)OC(C)C,265.348,3.67,1,4,1
74389248,COC1C=CC(=CC=1)N(CCN)CCC(O)=O,238.2829,0.04,3,5,1
74389250,CCOC1C=CC(=CC=1)N(CCN)CCC(O)=O,252.3095,0.57,3,5,1
74389253,CC(C)OC1C=CC(=CC=1)N(CCN)CCC(O)=O,266.3361,0.92,3,5,1
38377244,c1ccc(cc1)N(CCC(=O)O)CCOc2ccccc2,285.3377,3.55,1,4,1
3929032,COc1ccc(cc1)N2CCN(CC2)CCC(=O)O,264.3202,1.41,1,5,1
21436621,CN(CCC(=O)O)c1cccc(c1)OC,209.2417,1.73,1,4,1
1420563,COc1ccc(cc1OC)N(CCC(=O)O)CCC(=O)O,297.3038,0.22,2,7,0
64082886,COc1ccc(cc1)N2CCCN(CC2)CCC(=O)O,278.3468,1.73,1,5,1
24034336,CCN(CCC(=O)O)c1ccccc1OC,223.2683,2.17,1,4,1
46253509,CC(C)(C)Oc1ccc(cc1)N(C)CCC(=O)O,251.3214,2.15,1,4,1
69991905,CCOc1ccc(cc1)N(C)CCCC(=O)O,237.2949,1.78,1,4,1
74296495,CCOC1C=CC(=CC=1)N(C)CC(C)(C)C(O)=O,251.3214,2.15,1,4,1
74389247,COC1C=C(C=CC=1)N(CCN)CCC(O)=O,238.2829,0.84,3,5,1
49780841,c1ccc2c(c1)N(CCCO2)CCC(=O)O,221.2524,1.17,1,4,1
1420562,COc1ccc(cc1OC)N(CCC(=O)[O-])CCC(=O)[O-],295.289,0.22,2,7,0
